Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
PI320585493374762295234560,LA320585490573519495630848,太仓市建强有色金属铸造厂（投资人:赵逢春）未将安全风险管控纳入年度安全生产教育培训计划案,"太仓市建强有色金属铸造厂（投资人:赵逢春??""USER3205417","USER320585406193658417647616""",璜泾??,WS320585493374567201378304,839458,USER320585479284006546837504,,USER320585443819214424248320,55:11.0,11:51.0,,2,320500,55:11.0,12:45.0,320500,u,6fad2c38-3359-11ec-b626-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500624239131853066240,LA320500614829418979790848,苏州工业园区旭星自动化科技有限公司未设有标志明显出口、疏散通道??苏州工业园区旭星自动化科技有限公司,"USER3205216,USER320500326018879727865856",苏州市相城区黄桥街道办事??,WS320500621339583132471296,4627003,USER320500339695750965366784,,USER320500326017074054828032,43:28.0,13:58.0,,2,320500,43:28.0,09:55.0,320500,i,a1cb0a08-4f0a-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320581503126978681901056,LA320581495232157531246592,常熟市先邦纺织品有限公司生产经营场所一楼及二楼??处安全出口被封堵严重??常熟市先邦纺织品有限公司,"USER320500283966300294746112,USER320505459024200716259328",东南街道,,WS320581497338749181497344,1138610,USER320500283965758969483264,,USER320500327486434418102272,47:00.0,11:39.0,,2,320500,47:00.0,22:25.0,320500,u,84c0bc08-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500632898116059664384,LA320500632212628990595072,吴江市荣凤喷织厂与承租单位未签订专门的安全生产管理协议，未在租赁合同中明确各自的安全生产管理职责，且未对承租单位的安全生产统一协调、管理案,吴江市荣凤喷织厂,"USER320500433656426867462144,USER320500551039388423819264",盛泽镇综合执法局,,WS320500632893913635491840,4905700,USER320500449494922026815488,,USER320500505740908331798528,11:11.0,13:36.0,,2,320500,11:11.0,04:55.0,320500,i,99d757b4-61e6-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500383574036048777216,LA320500377883050266071040,苏州博浦瑞精密工业部件有限公司未按规定对从业人员进行安全生产教育和培训案,"苏州博浦瑞精密工业部件有限公??""USER3205076","USER3205074""",浒墅关经济技术开发区安全生产监督管理局,,WS320500383573165067997184,621043,USER3205066,,USER3205072,06:18.0,06:18.0,,2,1,04:55.0,04:55.0,320500,i,f370eecf-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320506571635319577776128,LA320506568754546336075776,"捷流阀业（苏州）有限公司干式除尘系统未规范采用泄爆、隔爆、惰化、抑爆、抗爆等一种或多种控爆措施??捷流阀业（苏州）有限公??""USER3205126","USER3205127""",监察大队,,WS320506571634818903707648,1134333,USER3205139,USER3205126,USER3205112,54:42.0,14:24.0,,2,320500,54:42.0,22:04.0,320500,u,e5b75d2c-dd19-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500684721152119017472,LA320500670938402094321664,"苏州中浩装配式房屋构件有限公司员工曹卫荣无特种作业证书进行电焊工作业??苏州中浩装配式房屋构件有限公??""USER320500446746482834411520","USER320500446747103155195904""",震泽镇综合执法局,,WS320500682546015730929664,5704941,USER320500450344110599966720,,USER320500466183594923003904,17:25.0,12:01.0,,2,320500,17:25.0,13:41.0,320500,u,3efba0c5-d245-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320505636924138451111936,LA320505629353644281565184,"苏州恒跃达电子有限公司安全设备的安装不符合国家标准或行业标准、未对安全设备进行经常性维护，保证正常运转??苏州恒跃达电子有限公??""USER3205067","USER3205079""",苏州高新区（虎丘区）应急管理综合行政执法大??,WS320505636922809573969920,1062332,USER320500383257421998460928,,USER320505525682074867208192,49:09.0,13:33.0,,2,320500,49:09.0,23:06.0,320500,i,6b34cf8b-6a8b-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320500500975236334751744,LA320500499952613387669504,昆山泽华精密模具有限公司未对安全设备进行定期检测案,昆山泽华精密模具有限公司,"USER320500427413047322087424,USER320500427413193543913472",张浦镇综合行政执法局,,WS320500500972667176751104,2282762,USER320500427398450875731968,,USER320500427399162363908096,16:45.0,49:20.0,USER320500427399162363908096,2,320500,17:26.0,20:24.0,320500,u,e8316f28-43d9-11ec-b626-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500835830866449010688,LA320500830114543802781696,苏州大周大科技有限公司总经理助理锁闭生产车间西侧靠南安全出口案,"戴子??""USER320500470648739564883968",USER3205035MANUAL,"USER320500490197861082861568""",高端制造与国际贸易区应急管理局,,WS320500834794612492079104,8091148,USER3205006MANUAL,USER3205067MANUAL,USER3205019MANUAL,53:29.0,15:06.0,,2,320500,53:29.0,44:38.0,320500,u,a565cd71-19f3-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??
PI320500524917050863259648,LA320500520953789906161664,昆山广辉精密五金有限公司使用危险化学品未依照规定对安全生产条件定期进行安全评价案,昆山广辉精密五金有限公司,"USER320500283063149605687296,USER320500283063763387551744",千灯镇综合行政执法局,,WS320500524916887918743552,2752163,USER320500283064011837149184,,USER320500283062886438277120,52:58.0,32:05.0,,2,320500,52:58.0,53:33.0,320500,i,ce313372-a6dc-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320581673133672735444992,LA320581667034670805815296,"江苏祥兆文具有限公司未与承租单位签订专门的安全生产管理协议且未对承租单位安全检查并形成记录??陆建??""USER320500283966300294746112","USER320505459024200716259328""",东南街道,,WS320581668394240597823488,1958058,USER320581672127112802471936,,USER320500327486434418102272,52:55.0,12:01.0,,2,320500,52:55.0,22:41.0,320500,i,f3a3a206-b91f-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500472321653875937280,LA320500470276024056156160,江苏普睿德环保工程有限公司未如实记录安全生产教育和培训情况案,"江苏普睿德环保工程有限公??""USER320500428135834630230016","USER320500428136031364059136""",陆家镇综合执法局,,WS320500471979500867948544,1620789,USER320500428134798783942656,USER320500428135540630491136,USER320500428134656785780736,37:39.0,48:58.0,,2,320500,37:39.0,27:57.0,320500,u,d4be79d5-05c5-11ec-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320506901775759536820224,LA320506897796104299483136,苏州市亿泰莱电器有限公司安全设备的安装不符合国家标准??苏州市亿泰莱电器有限公司,"USER3205122,USER320506469532261499277312",执法大队,,WS320506901775341607981056,,USER3205139,,USER3205112,14:56.0,11:51.0,,2,320500,14:56.0,13:26.0,320500,i,b43978fc-a8f7-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500525618999187214336,LA320500522357431703965696,苏州协诚企业服务有限公司特种作业人员未经专门培训取得特种作业操作证上岗作业案,苏州协诚企业服务有限公司,"USER3205035MANUAL,USER3205031MANUAL",高端制造与国际贸易区安全生产监督管理局,,WS320500525040740611395584,2733956,USER3205006MANUAL,USER3205024MANUAL,USER3205019MANUAL,22:16.0,32:06.0,,2,320500,22:16.0,09:29.0,320500,i,ce313f31-a6dc-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500900305457241919488,LA320500891695212114481152,苏州犇泰纺织科技有限公司储存危险化学品的单位未在作业场所设置报警装置??苏州犇泰纺织科技有限公司,"USER320500604984803955052544,USER320500462186885494607872",三中??,WS320500899223411312562176,,257ad41f-7422-43bc-9f6d-f8156d6eaa59,,f11a189b-c411-42a0-bd24-72f8fb544341,52:29.0,35:28.0,,2,320500,52:29.0,38:32.0,320500,i,0aa4659e-a5d3-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320581845243490290896896,LA320581837617933852086272,常熟泰明金属有限公司未与承包单位签订专门的安全生产管理协议或者未在承包合同、租赁合同中明确各自的安全生产管理职责案,常熟泰明金属有限公司,"USER320500284018605975146496,USER320581614459876386541568",梅李??,WS320581845242902576631808,,USER320500325638503423545344,,USER320581682306352827076608,15:53.0,14:44.0,,2,320500,15:53.0,23:30.0,320500,i,f05b3a3a-2e61-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500467715854901972992,LA320500464352581141925888,张家港市鑫塘精密模具有限公司未按照规定对两名从业人员进行安全生产教育和培训案,张家港市鑫塘精密模具有限公司,"USER3205324,USER320500281744276583354368,USER320500281743652311535616",塘桥镇综合行政执法局,,WS320500467698329191452672,1497746,USER320500287180545744441344,USER320500281744276583354368,USER320500427033191761580032,35:51.0,48:54.0,,2,320500,35:51.0,,320500,u,adbea8c5-fb8e-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500505023190758592512,LA320500500245169187065856,昆山帝亿展示道具有限公司未按规定定期开展应急救援演练案,昆山帝亿展示道具有限公司,"USER320500424987668212879360,USER320500424987804733280256",淀山湖镇综合执法局,,WS320500505022091548954624,2375651,USER320500424987932147847168,,USER320500424987022277480448,21:53.0,49:24.0,,2,320500,21:53.0,23:25.0,320500,u,bad7c675-4c7e-11ec-83db-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320581678601512829587456,LA320581674912786131718144,苏州市屹福瑞电器有限公司未与承包单位签订专门的安全生产管理协议案,苏州市屹福瑞电器有限公司,"USER320500284020155216826368,USER320581655352784123596800",莫城街道,,WS320581678601259741089792,2008360,USER3205275,,USER320505429203723726622720,00:09.0,11:58.0,USER320505429203723726622720,2,320500,23:35.0,25:42.0,320500,i,6e1f5b34-c4e9-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320506586634999789260800,LA320506584435684085862400,利钛威自动化系统设备（苏州）有限公司工业企业未进行较大以上安全风险公示、工业企业未建立安全风险管控清单、企业焊工向方军使用伪造的特种作业操作证案,利钛威自动化系统设备（苏州）有限公司,"USER3205120,USER320506469532261499277312",监察大队,,WS320506586628410281824256,1183229,USER3205139,USER3205120,USER3205112,18:04.0,13:41.0,,2,320500,18:04.0,50:48.0,320500,u,aeafc389-fd51-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500506058290807967744,LA320500500241215480926208,海科机械密封技??苏州)有限公司安全设备的安装不符合国家标准??海科机械密封技??苏州)有限公司,"USER3205085MANUAL,USER3205079MANUAL",金鸡湖商务区安全生产监督管理局,,WS320500506039364069888000,2396704,USER3205006MANUAL,USER3205076MANUAL,USER3205074MANUAL,55:00.0,11:06.0,,2,320500,55:00.0,04:44.0,320500,u,389b5623-4eda-11ec-83db-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500458929066465038336,LA320500452828318203383808,苏州菀湖机械有限公司生产经营单位未对安全设备（空压机的压力表）进行经常性维护、保养和定期检测车间现场使用气瓶时，未设置防倾倒装置案,"苏州菀湖机械有限公??""2d72afcb-3dbb-4f86-9dd2-4fac362bb036","ade2eeee-5a61-4284-84f1-a3fe781ab9f0""",横扇街道综合执法局,,WS320500458925359925039104,1323526,USER320500449518395868581888,,USER320500449518134584414208,40:17.0,48:46.0,,2,320500,40:17.0,43:34.0,320500,u,b4592ae4-e8b2-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500635067233218859008,LA320500620984958567059456,吴江区七都镇良友木制品厂生产经营单位未与承租单位签订专门的安全生产管理协议案,吴江区七都镇良友木制品厂,"USER320500446729076288262144,USER320500495229827616346112",七都镇综合执法局,,WS320500635067075865350144,4883966,USER320500454574028846272512,,USER320500447766621696561152,50:28.0,48:21.0,,2,320500,50:28.0,51:10.0,320500,i,97871623-669d-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500578868608436801536,LA320500575647564309729280,张家港市大叶酒店家私有限公司未按照规定辨识评估管控粉尘爆炸安全风险、未在有较大危险因素的有关设施、设备上设置明显的安全警示标志、未采取措施消除事故隐患??张家港市大叶酒店家私有限公司,"USER3205352,USER3205322",监察大队,,WS320500577075105922813952,3533122,USER3205323,,USER3205333,57:12.0,14:02.0,,2,320500,57:12.0,24:04.0,320500,u,3560aa4c-ecd1-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500455043355005423616,LA320500454615557954605056,苏州市金阊区虎丘农贸市场生产经营单位未与承包单位、承租单位签订专门的安全生产管理协议或者未在承包合同、租赁合同中明确各自的安全生产管理职责，或者未对承包单位、承租单位的安全生产统一协调、管理案,苏州市金阊区虎丘农贸市场,"USER320500415112939465347072,USER320500415113400280944640",虎丘街道,,WS320500454996550599315456,1260148,USER320500415805236322504704,,USER320500415807275324674048,19:51.0,48:44.0,,2,320500,19:51.0,22:38.0,320500,i,84bb5189-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320581546345599272751104,LA320581521271255123365888,金福源工程机??常熟)有限公司生产经营单位违反《江苏省安全生产条例》进行高处作业、有限空间作业、临近高压输电线路作业、建筑物和构筑物拆除、大型检修等危险作业的案,金福源工程机??常熟)有限公司,"USER320500370602410692841472,USER320500284036398716030976",支塘??,WS320581546267423020421120,1319578,USER320500360118553480794112,,USER320500360121683551457280,02:22.0,13:58.0,,2,320500,02:22.0,10:52.0,320500,u,a3808d05-a613-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320505625261943866789888,LA320505622802823955877888,苏州市吉康宝食品有限公司未设有符合紧急疏散需要、标志明显的安全出口??苏州市吉康宝食品有限公司,"USER320500282564897215090688,USER3205093",枫桥街道安监??,WS320505625261699066236928,1051959,USER320500383257421998460928,,USER3205094,27:45.0,13:57.0,,2,320500,27:45.0,59:17.0,320500,u,20b1fbad-5166-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320500305649065750695936,LA320500302826104693985280,安徽省淮海工程科技有限公司特种作业人员未经专门培训取得特种作业操作证上岗作业案,安徽省淮海工程科技有限公司,"USER3205332,USER3205334",监察大队,,WS320500305369288707936256,63577,USER3205323,,USER3205346,05:17.0,22:29.0,,2,1,59:18.0,59:18.0,320500,u,5ecab469-b314-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500629990789224599552,LA320500626714243940487168,苏州宝驰橡塑有限公司生产经营单位未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标志案,苏州宝驰橡塑有限公司,"f2044890-ddfb-4c7d-9e76-d6dd6576fbaa,USER320500449160154865209344",二中??,WS320500629989717596704768,4834820,257ad41f-7422-43bc-9f6d-f8156d6eaa59,,f2044890-ddfb-4c7d-9e76-d6dd6576fbaa,38:30.0,13:40.0,,2,320500,38:30.0,27:32.0,320500,i,46919ef6-5b9d-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320505445228631849963520,LA320505436449085885517824,常熟富宏环保设备有限公司进行危险作业，未履行安全管理职责,常熟富宏环保设备有限公司,"USER320500370602410692841472,USER320500284036398716030976",支塘镇综合行政执法局,,WS320505445228472537714688,856100,USER320500360118553480794112,,USER320500360121683551457280,19:39.0,11:16.0,,2,320500,19:39.0,56:54.0,320500,u,84bf1cc4-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500726477280406147072,LA320500723184193835634688,"南通璨宇地坪技术有限公司危险化学品专用仓库不符合国家标准的要求??南通璨宇地坪技术有限公??""8c068768-1257-4747-be60-205d2f04b720","USER320500451029042984914944""",一中队,,WS320500725265903993753600,6647273,257ad41f-7422-43bc-9f6d-f8156d6eaa59,,6f73e41e-5791-4580-9c6c-c26c7bdbf621,41:22.0,14:40.0,,2,320500,41:22.0,52:43.0,320500,u,839db45c-2ca2-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320505653189156830187520,LA320505645551263307534336,苏州申川精密部件有限公司新入职员工岗前三级安全教育培训学时不足、安全设备未进行经常性维护、保养和定期检测案,苏州申川精密部件有限公司,"USER3205067,USER320500282564897215090688",枫桥街道安监??,WS320505653164449263259648,1082801,USER320500383257421998460928,,USER3205094,00:32.0,12:43.0,,2,320500,00:32.0,06:10.0,320500,i,dac2d96f-8de7-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320581961637320258228224,LA320581952151833411850240,常熟市健富化纤有限公司员工违反操作规程作业案,江建,"USER320581784860459269361664,USER320505469100959448961024",董浜??,WS320581961626244103802880,,USER320581609031171942125568,,USER320581857710234553028608,43:25.0,43:25.0,,2,320500,43:25.0,48:54.0,320500,i,17aa20ac-2a9f-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500789426499680735232,LA320500781521673135329280,昆山中超自动化有限公司员工违反操作规程作业案,"昆山中超自动化有限公??""USER320500283058303737532416","USER320500283046069443497984""",周市镇综合行政执法局,,WS320500789418780454293504,7587576,USER320500427523558659330048,,USER320500526075403052257280,39:05.0,12:16.0,,2,320500,39:05.0,13:26.0,320500,u,423eaf2c-b55d-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320505702447379541921792,LA320505700364917613531136,伍兹物料周转用品（苏州）有限公司未为从业人员提供符合国家标准的劳动防护用品、未进行较大以上安全风险公示??伍兹物料周转用品（苏州）有限公司,"USER3205067,USER3205064",执法大队,,WS320505702447080144113664,1141073,USER320500383257421998460928,,USER3205058,15:07.0,10:40.0,,2,320500,15:07.0,39:29.0,320500,i,5886f18b-f8c6-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585612645156281126912,LA320585608606063867990016,太仓托普斯特金属制品有限公司安全生产管理人员未履行安全生产管理职责（未导致发生生产安全事故的）案,"柳茂??""USER320500282818108480032768","USER320500282816791439216640""",沙溪中队,,WS320585611564713452507136,1352548,USER320585479284006546837504,USER320500282818108480032768,USER320500282818108480032768,53:09.0,14:21.0,,2,320500,53:09.0,,320500,u,5738dbad-35e5-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500507507229306392576,LA320500499871406910083072, 姑苏区石可心服装设计工作室生产经营单位未如实记录安全生产教育和培训情况案," 姑苏区石可心服装设计工作??""USER320500415115521520832512","USER320500415116060451147776""",苏锦街道,,WS320500507501839139213312,2406467,USER320500415805236322504704,,USER320500415807275324674048,52:33.0,49:27.0,,2,320500,52:33.0,58:45.0,320500,u,e2bfb711-51fe-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500473185979780304896,LA320500473166056127467520,昆山永诚食品工业有限公司未对承包单位的安全生产统一协调、管理案,"陈昱??""USER320500283045708154540032","USER320500432191383898427392""",昆山开发区综合执法局,,WS320500473184078724599808,1666067,USER320500432191861927448576,,USER320500428557875955109888,52:10.0,48:59.0,,2,320500,52:10.0,25:26.0,320500,u,2982f293-0758-11ec-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320581626701237810630656,LA320581612325373106982912,"常熟市盛创无纺制品有限公司主要负责人奚春芳未履行安全生产管理职责??奚春??""USER320581552059556021145600","USER3205290""",监察大队,,WS320581626355072644681728,1737622,USER3205275,,USER3205277,47:00.0,13:51.0,,2,320500,47:00.0,26:17.0,320500,i,c9a981db-548a-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585715245543646826496,LA320585709047915783393280,太仓大顺纺织化纤有限公司特种作业人员未经专门培训取得特种作业操作证上岗作业案,太仓大顺纺织化纤有限公司,"USER320585654624219031670784,USER320585406193658417647616",璜泾??,WS320585712695718418059264,1768603,USER320585479284006546837504,USER320585654624219031670784,USER320585443819214424248320,50:27.0,15:18.0,,2,320500,50:27.0,,320500,u,631e5729-1446-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500716231924141527040,LA320500711572926528229376,吴江市新宇鞋业有限公司未与承租单位签订专门安全生产管理协议案,"吴江市新宇鞋业有限公??""USER320500649958190389137408","dbb0c580-3cbf-4b66-a84b-f81d9d30c04d""",黎里镇综合执法局,,WS320500715873936352481280,6478998,USER320500669986972097318912,,USER320500447746803643715584,09:59.0,15:24.0,,2,320500,09:59.0,18:17.0,320500,i,e218ef3b-16a1-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500498777210300141568,LA320500495528630701527040,张家港市金港镇增辉装卸搬运服务部未将事故隐患排查治理情况如实记录??张家港市金港镇增辉装卸搬运服务部,"USER320500281743963797327872,USER3205354",监察大队,,WS320500497767311671824384,2192551,USER3205323,USER320500281743963797327872,USER3205346,42:35.0,49:18.0,,2,320500,42:35.0,,320500,u,ea4facbf-3f22-11ec-b626-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500809055791033094144,LA320500791248103570149376,"苏州市苏城轨道交通设备有限公司未采取措施消除事故隐患??苏州市苏城轨道交通设备有限公??""USER3205190","USER3205195""",工贸企业安全监管??,WS320500807565701660282880,7688067,USER320500341163628822532096,USER3205195,USER3205196,38:53.0,11:10.0,,2,320500,38:53.0,46:45.0,320500,u,2bb618ca-dfcc-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320500852850706514710528,LA320500837252916833161216,张家港市宁顺贸易有限公司未将危险化学品（片状氢氧化钠、连二亚硫酸钠（保险粉））储存在专用仓库内案,张家港市宁顺贸易有限公司,"USER320500667006349623693312,USER320500667003211072147456",塘桥镇综合行政执法局,,WS320500852836698822807552,8247829,USER320500287174034792124416,,USER320500427033191761580032,04:15.0,14:19.0,,2,320500,04:15.0,55:15.0,320500,u,67b88987-3ee2-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500435003271845777408,LA320500432134749880848384,苏州工业园区宁润五金厂未将事故隐患排查治理情况如实记录案,"	苏州工业园区宁润五金??""USER3205048MANUAL","USER3205054MANUAL""",独墅湖科教创新区,,WS320500434381006980517888,917093,USER3205006MANUAL,USER3205047MANUAL,USER3205039MANUAL,07:43.0,48:33.0,,2,320500,07:43.0,30:29.0,320500,i,84ba9095-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500645665210404704256,LA320500640186950803787776,江阴德龙能源设备有限公司未与承包单位签订专门的安全生产管理协议且未在承包合同中明确各自的安全生产管理职责??江阴德龙能源设备有限公司,"USER3205061MANUAL,USER3205067MANUAL",苏州阳澄湖半岛旅游度假区应急管理局,,WS320500645558468417163264,5061824,USER3205006MANUAL,USER3205062MANUAL,USER3205057MANUAL,43:03.0,13:07.0,,2,320500,43:03.0,35:20.0,320500,u,62214538-7d67-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320506924594465186779136,LA320506916704307837931520,吴中区长桥鸿福珠宝店未经许可经营烟花爆竹??吴中区长桥鸿福珠宝店,"USER320506807930211306835968,USER320506701403158823309312",长桥街道,,WS320506924585864732872704,2087240,USER320506578989820840251392,,USER320506527546388687360000,28:20.0,28:20.0,,2,320500,28:20.0,51:03.0,320500,i,1ca81b2a-da79-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500988064435748737024,LA320500977924137374715904,吴江市春杰丝绸喷织厂未与承租单位明确各自的安全生产管理职责案,吴江市春杰丝绸喷织厂,"f11a189b-c411-42a0-bd24-72f8fb544341,USER320500462186885494607872",三中??,WS320500988008019616862208,,257ad41f-7422-43bc-9f6d-f8156d6eaa59,,f11a189b-c411-42a0-bd24-72f8fb544341,55:20.0,13:25.0,,2,320500,55:20.0,12:30.0,320500,i,25d4be58-63fc-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500769224002391511040,LA320500761240212826230784,环川环保设备（苏州）有限公司特种作业人员未按照规定经专门的安全作业培训并取得相应资格上岗作业??环川环保设备（苏州）有限公司,"USER320500457127663006388224,USER320500432176843936763904",八坼街道综合执法局,,WS320500768769966013943808,7329700,USER320500621997563096076288,,USER320500452084076443078656,41:35.0,13:04.0,,2,320500,41:35.0,54:38.0,320500,u,0229b008-895c-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500473147706794053632,LA320500469915111566348288,张家港市钰润铜业有限公司安全设备的安装不符合国家标准??张家港市钰润铜业有限公司,"USER3205324,USER320500281744276583354368,USER320500281743652311535616",塘桥镇综合行政执法局,,WS320500473062610976116736,1644282,USER320500287174034792124416,USER320500287180545744441344,USER320500427033191761580032,20:05.0,48:59.0,,2,320500,20:05.0,56:30.0,320500,u,2982ec5d-0758-11ec-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500607240064467996672,LA320500603906056338280448,苏州立禾生物医学工程有限公司未按照规定配备专职安全生产管理人员案,苏州立禾生物医学工程有限公司,"USER3205053MANUAL,USER3205056MANUAL",苏州独墅湖科教创新区应急管理局,,WS320500604314900772163584,4278551,USER3205006MANUAL,USER3205047MANUAL,USER320500594923989281804288,55:14.0,14:55.0,,2,320500,55:14.0,26:20.0,320500,u,dc2f2f65-2a1b-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320581724975998256287744,LA320581715612885467795456,"常熟东方木业有限公司安全生产管理人员张振华未履行安全生产职责??张振??""USER320581552060543741988864","USER320581552061599054041088""",常熟市应急管理综合行政执法大??,WS320581724970140696842240,2250509,USER3205273,,USER3205277,15:48.0,14:49.0,,2,320500,15:48.0,28:55.0,320500,u,d96c69aa-297d-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320506483973511912624128,LA320506480394037296107520,苏州隆博包装材料有限公司生产经营单位未按照规定对从业人员、被派遣劳动者、实习学生进行安全生产教育和培训??苏州隆博包装材料有限公司,"USER320506408679854125355008,USER320506469556927643258880",胥口??,WS320506483967138504118272,929991,USER320506408680543979311104,USER320506408680543979311104,USER320506408680032592990208,17:58.0,11:31.0,,2,320500,17:58.0,02:14.0,320500,u,77681377-207d-11ec-bc7f-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320500379266381729763328,LA320500377816488200900608,苏州飞跃达门业有限公司未如实记录安全生产教育和培训情况案,"苏州飞跃达门业有限公??""USER3205207","USER320500327488270776668160""",望亭镇综合行政执法局,,WS320500379257999962673152,599067,USER320500327488098780844032,,USER320500280477721807556608,49:13.0,49:13.0,,2,1,16:06.0,16:06.0,320500,i,f370e4fc-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
